,GFNORTEO.MX,GFNORTEO.MX,GFNORTEO.MX,GFNORTEO.MX,GFNORTEO.MX,GFNORTEO.MX,GFNORTEO.MX,VOLARA.MX,VOLARA.MX,VOLARA.MX,VOLARA.MX,VOLARA.MX,VOLARA.MX,VOLARA.MX,MXNUSD=X,MXNUSD=X,MXNUSD=X,MXNUSD=X,MXNUSD=X,MXNUSD=X,MXNUSD=X
,Close,Dividends,High,Low,Open,Stock Splits,Volume,Close,Dividends,High,Low,Open,Stock Splits,Volume,Close,Dividends,High,Low,Open,Stock Splits,Volume
2024-10-08,150.49000549316406,0.0,156.8300018310547,150.35000610351562,153.19000244140625,0.0,5959872.0,12.0,0.0,12.109999656677246,11.899999618530273,12.020000457763672,0.0,691333.0,,,,,,,
2024-10-09,151.0800018310547,0.0,155.58999633789062,150.00999450683594,150.49000549316406,0.0,5062107.0,12.130000114440918,0.0,12.149999618530273,12.0,12.039999961853027,0.0,519940.0,,,,,,,
2024-10-10,150.97999572753906,0.0,152.08999633789062,148.99000549316406,150.72999572753906,0.0,5272936.0,12.170000076293945,0.0,12.220000267028809,11.920000076293945,12.130000114440918,0.0,1050596.0,,,,,,,
2024-10-11,150.24000549316406,0.0,151.13999938964844,148.5500030517578,150.66000366210938,0.0,3105826.0,12.149999618530273,0.0,12.239999771118164,12.010000228881836,12.130000114440918,0.0,943678.0,0.05144456401467323,0.0,0.05161052942276001,0.05131560564041138,0.05144456401467323,0.0,0.0
2024-10-14,145.8300018310547,0.0,149.52000427246094,145.27999877929688,149.52000427246094,0.0,5558258.0,12.270000457763672,0.0,12.34000015258789,12.050000190734863,12.09000015258789,0.0,889110.0,0.05181470885872841,0.0,0.05201181769371033,0.05163649097084999,0.05181470885872841,0.0,0.0
2024-10-15,148.97000122070312,0.0,149.58999633789062,145.22000122070312,145.6999969482422,0.0,9406707.0,13.119999885559082,0.0,13.130000114440918,12.399999618530273,12.399999618530273,0.0,4379714.0,0.05147753655910492,0.0,0.05163102224469185,0.05084532871842384,0.05147753655910492,0.0,0.0
2024-10-16,144.14999389648438,0.0,149.49000549316406,144.0,148.2100067138672,0.0,15056127.0,13.899999618530273,0.0,13.949999809265137,12.859999656677246,12.859999656677246,0.0,2242824.0,0.05077404901385307,0.0,0.050856683403253555,0.050169751048088074,0.05077404901385307,0.0,0.0
2024-10-17,144.60000610351562,0.0,145.38999938964844,143.89999389648438,144.8000030517578,0.0,7831753.0,13.649999618530273,0.0,14.050000190734863,13.579999923706055,13.869999885559082,0.0,3522001.0,0.05025453865528107,0.0,0.050448231399059296,0.04993950203061104,0.05025453865528107,0.0,0.0
2024-10-18,146.5,0.0,146.69000244140625,144.00999450683594,144.0500030517578,0.0,4213271.0,14.1899995803833,0.0,14.430000305175781,13.40999984741211,13.6899995803833,0.0,3057759.0,0.050462208688259125,0.0,0.05091468244791031,0.05038963630795479,0.050462208688259125,0.0,0.0
2024-10-21,144.24000549316406,0.0,146.66000366210938,142.57000732421875,146.66000366210938,0.0,4338131.0,14.020000457763672,0.0,14.329999923706055,13.9399995803833,14.09000015258789,0.0,1170355.0,0.05033077299594879,0.0,0.050353989005088806,0.049849800765514374,0.05033077299594879,0.0,0.0
2024-10-22,141.61000061035156,0.0,144.72000122070312,139.5500030517578,144.25999450683594,0.0,7842983.0,14.270000457763672,0.0,14.380000114440918,13.899999618530273,13.9399995803833,0.0,3106094.0,0.05009819194674492,0.0,0.050583966076374054,0.050087474286556244,0.05009819194674492,0.0,0.0
2024-10-23,144.52999877929688,0.0,144.7100067138672,140.00999450683594,141.61000061035156,0.0,7125697.0,13.970000267028809,0.0,14.4399995803833,13.710000038146973,14.239999771118164,0.0,1993355.0,0.050160013139247894,0.0,0.050230808556079865,0.04976857453584671,0.050160013139247894,0.0,0.0
2024-10-24,142.47000122070312,0.0,144.49000549316406,141.22000122070312,143.4600067138672,0.0,4460588.0,14.020000457763672,0.0,14.15999984741211,13.770000457763672,13.949999809265137,0.0,1391397.0,0.050422389060258865,0.0,0.050640858709812164,0.05026818439364433,0.050422389060258865,0.0,0.0
2024-10-25,140.4600067138672,0.0,142.69000244140625,140.41000366210938,142.00999450683594,0.0,3591534.0,14.149999618530273,0.0,14.229999542236328,13.880000114440918,14.0,0.0,1874676.0,0.05046885833144188,0.0,0.05060088261961937,0.05019286647439003,0.05046885833144188,0.0,0.0
2024-10-28,141.6699981689453,0.0,141.6699981689453,139.55999755859375,141.27000427246094,0.0,5221642.0,14.380000114440918,0.0,15.1899995803833,14.119999885559082,14.119999885559082,0.0,3018680.0,0.05013393238186836,0.0,0.050160013139247894,0.049776382744312286,0.05013393238186836,0.0,0.0
2024-10-29,139.0,0.0,141.08999633789062,138.77000427246094,140.00999450683594,0.0,6847181.0,14.760000228881836,0.0,14.850000381469727,13.800000190734863,14.3100004196167,0.0,1347119.0,0.04992825165390968,0.0,0.05011727660894394,0.04982893541455269,0.04992825165390968,0.0,0.0
2024-10-30,137.97999572753906,0.0,139.88999938964844,137.00999450683594,139.88999938964844,0.0,7906917.0,14.90999984741211,0.0,15.449999809265137,14.65999984741211,14.65999984741211,0.0,2442525.0,0.04986591264605522,0.0,0.050016503781080246,0.04946097359061241,0.04986591264605522,0.0,0.0
2024-10-31,139.64999389648438,0.0,140.27999877929688,137.00999450683594,137.00999450683594,0.0,9926472.0,14.920000076293945,0.0,15.239999771118164,14.739999771118164,14.850000381469727,0.0,3174508.0,0.0495934821665287,0.0,0.049948301166296005,0.04954984039068222,0.0495934821665287,0.0,0.0
2024-11-01,141.9499969482422,0.0,143.9600067138672,139.30999755859375,139.3300018310547,0.0,10499386.0,14.920000076293945,0.0,15.140000343322754,14.789999961853027,14.899999618530273,0.0,1996928.0,0.04987359791994095,0.0,0.0501859113574028,0.049808088690042496,0.04987359791994095,0.0,0.0
2024-11-04,143.11000061035156,0.0,144.19000244140625,141.0399932861328,142.47999572753906,0.0,6271661.0,15.029999732971191,0.0,15.329999923706055,14.869999885559082,14.920000076293945,0.0,2086120.0,0.04979628324508667,0.0,0.05013260245323181,0.04958939924836159,0.04979628324508667,0.0,0.0
2024-11-05,143.11000061035156,0.0,143.99000549316406,140.2100067138672,142.00999450683594,0.0,6699235.0,14.979999542236328,0.0,15.09000015258789,14.630000114440918,14.970000267028809,0.0,1861651.0,0.04976634681224823,0.0,0.04982064291834831,0.04914466291666031,0.04976634681224823,0.0,0.0
2024-11-06,148.14999389648438,0.0,149.67999267578125,136.0,141.9199981689453,0.0,8985242.0,14.789999961853027,0.0,15.260000228881836,14.149999618530273,14.960000038146973,0.0,2487160.0,0.04967315122485161,0.0,0.04966549947857857,0.04807807877659798,0.04967315122485161,0.0,0.0
2024-11-07,149.49000549316406,0.0,150.2899932861328,147.00999450683594,148.99000549316406,0.0,8191342.0,15.109999656677246,0.0,15.300000190734863,14.739999771118164,14.829999923706055,0.0,2522678.0,0.04958593472838402,0.0,0.05060677230358124,0.04949786886572838,0.04958593472838402,0.0,0.0
2024-11-08,146.10000610351562,0.0,149.0800018310547,144.2100067138672,148.02000427246094,0.0,4158678.0,15.229999542236328,0.0,15.25,14.720000267028809,14.960000038146973,0.0,1600825.0,0.05052145943045616,0.0,0.050590645521879196,0.049437329173088074,0.05052145943045616,0.0,0.0
2024-11-11,,,,,,,,,,,,,,,0.049652185291051865,0.0,0.049701787531375885,0.04954760521650314,0.04958350211381912,0.0,0.0
